id,track_name,artist_name,genre,beats_per_minute,popularity
1,Señorita,Shawn Mendes,canadian pop,117,79
2,China,Anuel AA,reggaeton flow,105,92
3,boyfriend (with Social House),Ariana Grande,dance pop,190,85
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,86
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,94
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,84
7,Ransom,Lil Tecca,trap music,180,92
8,How Do You Sleep?,Sam Smith,pop,111,90
9,Old Town Road - Remix,Lil Nas X,country rap,136,87
10,bad guy,Billie Eilish,electropop,135,95
11,Callaita,Bad Bunny,reggaeton,176,93
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,86
13,Someone You Loved,Lewis Capaldi,pop,110,88
14,Otro Trago - Remix,Sech,panamanian pop,176,87
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,92
16,No Guidance (feat. Drake),Chris Brown,dance pop,93,82
17,LA CANCIÓN,J Balvin,latin,176,90
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,91
19,Lalala,Y2K,canadian hip hop,130,88
20,Truth Hurts,Lizzo,escape room,158,91
21,Piece Of Your Heart,MEDUZA,pop house,124,91
22,Panini,Lil Nas X,country rap,154,91
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,83
24,Soltera - Remix,Lunay,latin,92,91
25,bad guy (with Justin Bieber),Billie Eilish,electropop,135,89
26,If I Can't Have You,Shawn Mendes,canadian pop,124,70
27,Dance Monkey,Tones and I,australian pop,98,83
28,It's You,Ali Gatie,canadian hip hop,96,89
29,Con Calma,Daddy Yankee,latin,94,91
30,QUE PRETENDES,J Balvin,latin,93,89
31,Takeaway,The Chainsmokers,edm,85,84
32,7 rings,Ariana Grande,dance pop,140,89
33,0.9583333333,Maluma,reggaeton,96,89
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98,89
35,Never Really Over,Katy Perry,dance pop,100,89
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,114,89
37,Otro Trago,Sech,panamanian pop,176,91
38,Antisocial (with Travis Scott),Ed Sheeran,pop,152,87
39,Sucker,Jonas Brothers,boy band,138,80
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,95,78
41,Higher Love,Kygo,edm,104,88
42,You Need To Calm Down,Taylor Swift,dance pop,85,90
43,Shallow,Lady Gaga,dance pop,96,87
44,Talk,Khalid,pop,136,84
45,Con Altura,ROSALÍA,r&b en espanol,98,88
46,One Thing Right,Marshmello,brostep,88,88
47,Te Robaré,Nicky Jam,latin,176,88
48,Happier,Marshmello,brostep,100,88
49,Call You Mine,The Chainsmokers,edm,104,88
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,82
